Spannung;Sekunde
241.51;2845
229.59;2850
220.45;2855
236.65;2860
231.72;2865
228.95;2870
222.92;2875
232.61;2880
238.9;2885
233.02;2890
221.34;2895
222.67;2900
239.82;2905
219.05;2910
236.03;2915
226.19;2920
238.46;2925
218.36;2930
228.8;2935
217.62;2940
227.04;2945
216.73;2950
223.4;2955
229.79;2960
236.21;2965
242.29;2970
226.23;2975
237.03;2980
233.52;2985
228.91;2990
222.83;2995
242.62;3000
237.54;3005
238.44;3010
234.9;3015
221.27;3020
243.07;3025
246.11;3030
244.95;3035
230.75;3040
234.81;3045
238.43;3050
228.15;3055
238.46;3060
236.1;3065
231.35;3070
232.72;3075
229.41;3080
233.02;3085
237.53;3090
219.54;3095
230.48;3100
231.87;3105
224.54;3110
227.8;3115
222.34;3120
231.33;3125
237.58;3130
233.42;3135
236;3140
239.88;3145
230.42;3150
213.89;3155
223.68;3160
237.01;3165
230.63;3170
231.89;3175
233.47;3180
238.7;3185
238.68;3190
230.96;3195
234.75;3200
231.59;3205
239.52;3210
237.8;3215
232.03;3220
223.45;3225
232.84;3230
228.92;3235
231.43;3240
237.6;3245
239.91;3250
225.68;3255
244.16;3260
220.04;3265
226.99;3270
236.71;3275
234.64;3280
233.44;3285
233.11;3290
230.86;3295
236.99;3300
242.97;3305
224.07;3310
230.82;3315
239.08;3320
227.37;3325
216.22;3330
232.14;3335
214.23;3340
225.83;3345
226.99;3350
235.74;3355
229.18;3360
231.89;3365
236.19;3370
240.17;3375
233.09;3380
244.64;3385
233.55;3390
219.75;3395
230;3400
210.87;3405
227.17;3410
220.56;3415
233.58;3420
233.87;3425
239.01;3430
231.62;3435
233.96;3440
236.17;3445
233.93;3450
219.34;3455
236.74;3460
233.9;3465
253.24;3470
231.82;3475
238.62;3480
233.88;3485
246.67;3490
230.32;3495
226.48;3500
224.58;3505
244.46;3510
229.62;3515
226.94;3520
235.84;3525
223.32;3530
238.34;3535
235.65;3540
223.72;3545
225.78;3550
226.6;3555
224.73;3560
242.43;3565
238.86;3570
234.93;3575
225.07;3580
226.78;3585
236.57;3590
233.81;3595
231.94;3600
241.01;3605
227.8;3610
226.76;3615
225.56;3620
231.28;3625
227.4;3630
240.89;3635
225.72;3640
232.17;3645
225.86;3650
231.88;3655
229.89;3660
232.74;3665
229.51;3670
216.98;3675
225.99;3680
217.34;3685
232.56;3690
212.71;3695
231.09;3700
234.73;3705
228.06;3710
228.82;3715
225.82;3720
233.04;3725
239.89;3730
234.87;3735
232.4;3740
247.45;3745
225;3750
225.03;3755
237.19;3760
234.47;3765
227.93;3770
217.73;3775
235.15;3780
227.87;3785
243.17;3790
225.74;3795
233.75;3800
241.5;3805
232.29;3810
224.85;3815
241.26;3820
243.17;3825
221.38;3830
232.14;3835
230.6;3840
221.89;3845
220.43;3850
242.57;3855
232.31;3860
223.94;3865
233.52;3870
227.98;3875
247.83;3880
228.7;3885
229.98;3890
225.47;3895
225.18;3900
236.53;3905
237.06;3910
236.44;3915
222.83;3920
231.04;3925
231.87;3930
231.28;3935
229.28;3940
244.51;3945
241.14;3950
232.05;3955
235.13;3960
236.21;3965
239.17;3970
239.62;3975
217.68;3980
237.59;3985
235.4;3990
244.1;3995
223.78;4000
227.49;4005
242.08;4010
235.77;4015
238.44;4020
221.35;4025
234.39;4030
225.32;4035
221.42;4040
235.74;4045
234.5;4050
236.02;4055
228.01;4060
237.9;4065
234.99;4070
241.72;4075
236.27;4080
233.2;4085
233.03;4090
244.87;4095
229.7;4100
239.44;4105
234.59;4110
230.52;4115
238.62;4120
225.84;4125
224.34;4130
226.55;4135
235.69;4140
222.39;4145
242.96;4150
230.43;4155
231.69;4160
238.18;4165
223.05;4170
240.65;4175
237.19;4180
240.1;4185
219.75;4190
227.53;4195
224.75;4200
233.52;4205
238.36;4210
236.78;4215
231.61;4220
224.76;4225
225.68;4230
231.79;4235
220.92;4240
228.97;4245
227.57;4250
219.15;4255
223.39;4260
233.02;4265
237.92;4270
237.08;4275
240.26;4280
232.79;4285
230.52;4290
235.32;4295
235.81;4300
235.32;4305
230.95;4310
242.46;4315
237.47;4320
237.38;4325
227.11;4330
228.05;4335
213.63;4340
228.59;4345
220.91;4350
240.99;4355
230.01;4360
236.36;4365
230.76;4370
226.68;4375
236.91;4380
220.64;4385
237.01;4390
237.3;4395
232.71;4400
239.78;4405
230.72;4410
236.27;4415
230.22;4420
227.98;4425
228.26;4430
230.38;4435
240.75;4440
229.71;4445
226.16;4450
231.38;4455
229.56;4460
240.07;4465
217.27;4470
236.58;4475
231.21;4480
226.94;4485
224.9;4490
242.78;4495
232.27;4500
234.82;4505
240.87;4510
227.45;4515
230.93;4520
229.63;4525
234.37;4530
231.6;4535
237.75;4540
227.46;4545
231.22;4550
224.9;4555
224.9;4560
232.52;4565
235.71;4570
230.31;4575
249.34;4580
229;4585
234.52;4590
234.85;4595
219.75;4600
234.95;4605
241.74;4610
233.52;4615
221.96;4620
229.64;4625
240.54;4630
235.41;4635
231.72;4640
228.61;4645
240.82;4650
236.52;4655
240.5;4660
232.13;4665
227.27;4670
228.19;4675
231.22;4680
215.26;4685
227.1;4690
235.77;4695
223.7;4700
232.39;4705
223.8;4710
236.51;4715
227.42;4720
230.52;4725
224.91;4730
237.46;4735
227.3;4740
235.42;4745
232.36;4750
239.91;4755
218.12;4760
243.2;4765
230.2;4770
229.03;4775
238.41;4780
222.94;4785
231.43;4790
227.67;4795
231.77;4800
237.47;4805
227.15;4810
235.05;4815
227.54;4820
239.36;4825
225.66;4830
239.63;4835
220.44;4840
238.2;4845
222.36;4850
235.95;4855
237.98;4860
225.21;4865
218.01;4870
235.8;4875
233.05;4880
249.07;4885
225.27;4890
233.9;4895
231.76;4900
228.33;4905
232.98;4910
224.3;4915
230.49;4920
223.92;4925
233.12;4930
235.69;4935
232.23;4940
236.3;4945
228.07;4950
232.27;4955
243.45;4960
219.18;4965
231.53;4970
231.95;4975
217.05;4980
248.46;4985
222.98;4990
226.89;4995
231.2;5000
234.25;5005
239.64;5010
232.1;5015
235.4;5020
252.17;5025
227.8;5030
239.6;5035
237.09;5040
234.14;5045
236.26;5050
234.19;5055
232.09;5060
233.64;5065
236.38;5070
251.55;5075
225.66;5080
229.43;5085
237.61;5090
232.91;5095
238.35;5100
229.8;5105
237.31;5110
226.66;5115
236.48;5120
232.29;5125
240.51;5130
223.13;5135
237.32;5140
236.69;5145
218.59;5150
238.68;5155
245.3;5160
223.21;5165
222.78;5170
230.11;5175
225.22;5180
242.7;5185
236.15;5190
230.81;5195
235.26;5200
243.62;5205
229.89;5210
238.61;5215
235.34;5220
230.81;5225
222.68;5230
244.65;5235
227.41;5240
226.42;5245
227.74;5250
235.95;5255
236;5260
243.63;5265
236.94;5270
236.79;5275
231.08;5280
233.67;5285
236.87;5290
247.29;5295
238.79;5300
208.14;5305
231.82;5310
225.76;5315
232.19;5320
227.56;5325
222.47;5330
230.25;5335
225.54;5340
229.85;5345
228.57;5350
237.87;5355
240.64;5360
246.45;5365
231.14;5370
228.05;5375
224.91;5380
243.22;5385
241.79;5390
233.04;5395
235.6;5400
218.59;5405
237.74;5410
245.75;5415
229.2;5420
230.89;5425
230.74;5430
226.46;5435
235.93;5440
239.13;5445
233.99;5450
225.16;5455
242.95;5460
243.59;5465
235.51;5470
231.55;5475
220.43;5480
240.24;5485
229.02;5490
221.84;5495
236.18;5500
220.22;5505
222.56;5510
229.05;5515
225.41;5520
219.51;5525
228.5;5530
239.74;5535
224.29;5540
243.48;5545
232.83;5550
226.13;5555
231.27;5560
237.48;5565
233.81;5570
225.98;5575
247.91;5580
232.99;5585
232.24;5590
228.11;5595
224.62;5600
222.4;5605
220.37;5610
231.08;5615
238.07;5620
232.26;5625
232.61;5630
226.08;5635
231.72;5640
230.36;5645
225.66;5650
225.45;5655
232.63;5660
232.57;5665
248.78;5670
231.29;5675
229.61;5680
230.28;5685
222.08;5690
231.39;5695
245.15;5700
235.08;5705
237.17;5710
224.35;5715
244.44;5720
235.46;5725
240.82;5730
239.48;5735
220.07;5740
230.46;5745
230.15;5750
242.06;5755
223.25;5760
223.56;5765
244.2;5770
232.75;5775
224.89;5780
250.19;5785
235.81;5790
232.54;5795
228.96;5800
235.98;5805
230.27;5810
241.24;5815
227.23;5820
225.06;5825
228.85;5830
226.59;5835
245.17;5840
238.65;5845
232.46;5850
240.59;5855
232.95;5860
223.24;5865
238.34;5870
219.9;5875
231.18;5880
224.39;5885
241.58;5890
233.85;5895
218.15;5900
222.94;5905
225.26;5910
230.88;5915
245.48;5920
236.94;5925
232;5930
207.6;5935
233.99;5940
243.93;5945
228.58;5950
230.66;5955
231.32;5960
245.14;5965
238.91;5970
222.52;5975
235.62;5980
229.96;5985
241.14;5990
232.23;5995
242.08;6000
219.15;6005
236.82;6010
237.51;6015
238.49;6020
240.03;6025
230.61;6030
229.21;6035
233.66;6040
240.45;6045
235.82;6050
232.85;6055
226.58;6060
228.36;6065
229.31;6070
229.3;6075
230.12;6080
223.78;6085
235.12;6090
222.99;6095
231.22;6100
227.95;6105
237.32;6110
236.75;6115
239.99;6120
220.41;6125
249.7;6130
227.65;6135
232.09;6140
233.02;6145
242.4;6150
232.84;6155
235.26;6160
228.31;6165
237.78;6170
230.53;6175
232.55;6180
213.87;6185
227.51;6190
228.22;6195
239.78;6200
229.64;6205
234.44;6210
242.39;6215
224.11;6220
235.79;6225
225.59;6230
229.39;6235
229.3;6240
220.63;6245
227.75;6250
233.84;6255
218.3;6260
235.69;6265
233.27;6270
232.74;6275
242.57;6280
234.94;6285
230.85;6290
225.87;6295
229.87;6300
231.63;6305
226.58;6310
228.05;6315
224.15;6320
229.68;6325
244.25;6330
230.74;6335
224.14;6340
235.81;6345
230.43;6350
225.18;6355
240.11;6360
222.7;6365
229.76;6370
234.73;6375
229.32;6380
231.78;6385
228.85;6390
235.76;6395
226.37;6400
232.06;6405
233.53;6410
227.3;6415
240.45;6420
228.88;6425
243.9;6430
232.58;6435
226.68;6440
228.03;6445
229.03;6450
231.24;6455
243.82;6460
237.9;6465
235.67;6470
223.59;6475
225.83;6480
229.05;6485
222.83;6490
234.93;6495
231.46;6500
236.31;6505
220.93;6510
226.89;6515
237.31;6520
238.67;6525
232.53;6530
229.93;6535
231.47;6540
230.69;6545
234.64;6550
230.99;6555
236.7;6560
220.04;6565
231.6;6570
238.59;6575
225.38;6580
232.79;6585
242.72;6590
227.88;6595
235.62;6600
241.85;6605
221.18;6610
233.65;6615
241.45;6620
232.97;6625
227.16;6630
226.86;6635
236.37;6640
240.86;6645
220.74;6650
233.32;6655
225.59;6660
226.48;6665
225.7;6670
227.26;6675
234.31;6680
230.86;6685
228.15;6690
236.56;6695
218;6700
231.99;6705
231.86;6710
233.3;6715
217.56;6720
232.45;6725
227.56;6730
238.38;6735
240.94;6740
219.75;6745
224.71;6750
234.34;6755
237.81;6760
240.01;6765
237.86;6770
228.72;6775
228.86;6780
217.94;6785
238.6;6790
231.92;6795
227.85;6800
228.25;6805
239.72;6810
230.79;6815
223.37;6820
231.26;6825
250.39;6830
221.57;6835
225.64;6840
231.93;6845
234.3;6850
239.87;6855
242.33;6860
231.69;6865
243.96;6870
228.59;6875
231.9;6880
239.6;6885
234.28;6890
231.06;6895
238.4;6900
239.24;6905
226.9;6910
247.24;6915
239.28;6920
241.82;6925
230.69;6930
233.43;6935
223.45;6940
223.51;6945
219.63;6950
250.66;6955
233.62;6960
231.83;6965
240.48;6970
236.6;6975
231.38;6980
231.81;6985
228.06;6990
228.98;6995
238.57;7000
237.77;7005
220.31;7010
232.7;7015
241.51;7020
229.39;7025
217.59;7030
221.6;7035
238.88;7040
222.13;7045
226.12;7050
229.38;7055
223.25;7060
232.32;7065
231.44;7070
229.78;7075
238.41;7080
228.93;7085
232.28;7090
238.69;7095
227.33;7100
233.67;7105
223.65;7110
212.03;7115
243.33;7120
226.56;7125
241.68;7130
235.56;7135
230.82;7140
228.83;7145
229.58;7150
237.12;7155
240.49;7160
218.99;7165
231.36;7170
241.82;7175
227.21;7180
237.83;7185
237.58;7190
233.47;7195
219.91;7200
224.61;7205
236.99;7210
235.54;7215
234.84;7220
230.33;7225
228.3;7230
234.29;7235
247.12;7240
226.06;7245
222.48;7250
229.62;7255
226.98;7260
230.52;7265
237.04;7270
241.06;7275
222.22;7280
225.29;7285
240.28;7290
243.13;7295
229.43;7300
225.11;7305
234.23;7310
243.56;7315
241.43;7320
232.61;7325
236.56;7330
229.34;7335
225.9;7340
236.52;7345
224.32;7350
230.77;7355
224.76;7360
232.23;7365
244.52;7370
233.69;7375
231.57;7380
237.36;7385
236.04;7390
224.38;7395
230.87;7400
228.45;7405
230.74;7410
237.54;7415
240.69;7420
241.96;7425
249.89;7430
249.84;7435
223.16;7440
234.8;7445
243.26;7450
223.96;7455
233.89;7460
220.88;7465
215.25;7470
230.79;7475
227.25;7480
237.08;7485
232.64;7490
234.97;7495
233.81;7500
246.78;7505
227.53;7510
234.36;7515
237.66;7520
233.24;7525
246.63;7530
234.15;7535
226.21;7540
242.88;7545
236.15;7550
228.4;7555
225.55;7560
224.24;7565
224.42;7570
237.62;7575
231.73;7580
249.99;7585
224.87;7590
244.57;7595
250.19;7600
238.14;7605
215.08;7610
223.99;7615
235.45;7620
220.87;7625
223.42;7630
237.45;7635
241.26;7640
229.15;7645
243.04;7650
222.57;7655
233.94;7660
223.13;7665
243.02;7670
236.55;7675
234.32;7680
237.37;7685
232.59;7690
233.78;7695
241.05;7700
234.44;7705
233.86;7710
227.26;7715
229.77;7720
231.45;7725
236.67;7730
241.84;7735
235.61;7740
242.92;7745
224.39;7750
234.72;7755
242.46;7760
206.13;7765
227.99;7770
234.18;7775
227.22;7780
233.09;7785
226.38;7790
225.01;7795
218.88;7800
221.3;7805
234.37;7810
230.57;7815
235;7820
244.53;7825
217.41;7830
235.99;7835
245.42;7840
230.19;7845
240.48;7850
241.92;7855
235.02;7860
238.89;7865
226.3;7870
241.22;7875
233.07;7880
222.09;7885
237.17;7890
232.68;7895
231.76;7900
238.43;7905
221.56;7910
230.82;7915
225.87;7920
229.94;7925
227.92;7930
237.18;7935
239.3;7940
244.61;7945
239.12;7950
226.58;7955
217.37;7960
226.95;7965
230.47;7970
229.22;7975
238.95;7980
229.25;7985
230.05;7990
229.09;7995
232.9;8000
246.14;8005
244.39;8010
225.45;8015
230.23;8020
244.45;8025
229.85;8030
228.65;8035
225.41;8040
236.34;8045
234.89;8050
242.85;8055
234.06;8060
247.74;8065
230.97;8070
236.93;8075
226.87;8080
236.25;8085
221.23;8090
222.85;8095
232.32;8100
228.9;8105
248.7;8110
229.64;8115
231.86;8120
226.39;8125
240.05;8130
228.97;8135
227.92;8140
229.86;8145
225.8;8150
228.39;8155
241.18;8160
238.95;8165
231.69;8170
239.26;8175
232.2;8180
229.38;8185
222.31;8190
243.15;8195
223.87;8200
231.58;8205
224.41;8210
226.08;8215
232.76;8220
237.27;8225
234.76;8230
241.08;8235
238.16;8240
230.95;8245
230.95;8250
233.09;8255
219.17;8260
236.54;8265
241.13;8270
227.37;8275
229.56;8280
225.99;8285
239.35;8290
219.08;8295
217.68;8300
221.52;8305
232.69;8310
252.26;8315
236.96;8320
234.29;8325
227.23;8330
230.25;8335
223.49;8340
226.06;8345
240.53;8350
229.78;8355
224.09;8360
224.62;8365
244.66;8370
224.56;8375
223.79;8380
232.53;8385
226.21;8390
237.24;8395
229.61;8400
244.51;8405
230.82;8410
229.38;8415
222.71;8420
224.76;8425
232.38;8430
217.94;8435
243.87;8440
231.67;8445
244.67;8450
236.73;8455
209.57;8460
229.32;8465
214.99;8470
236.31;8475
233.6;8480
217.9;8485
230.89;8490
219.53;8495
229.72;8500
228.19;8505
224.58;8510
222.28;8515
239.73;8520
232.04;8525
240.1;8530
234;8535
224.16;8540
238.66;8545
232.53;8550
236.29;8555
232.15;8560
230.89;8565
231.56;8570
234.84;8575
223.81;8580
233.89;8585
237.71;8590
224.51;8595
229.17;8600
230.44;8605
231.86;8610
234.11;8615
234.46;8620
235.51;8625
233.81;8630
230.13;8635
239.58;8640
228.68;8645
243.42;8650
237.47;8655
229.08;8660
244.37;8665
227.12;8670
228.79;8675
236.3;8680
226.57;8685
229.85;8690
231.36;8695
243.99;8700
232.99;8705
229.59;8710
229.67;8715
241;8720
218.61;8725
234.19;8730
247.31;8735
227.25;8740
215.03;8745
232.79;8750
230.68;8755
228.96;8760
238.99;8765
228.6;8770
236.85;8775
215.7;8780
238.63;8785
229.19;8790
230.24;8795
228.01;8800
229.98;8805
235.5;8810
243.93;8815
231.84;8820
230.7;8825
223.54;8830
216.35;8835
236.05;8840
222.65;8845
237.73;8850
226.56;8855
237.34;8860
229.16;8865
223.04;8870
232.64;8875
232.97;8880
227.22;8885
231.18;8890
230.04;8895
237.95;8900
222.2;8905
235.27;8910
236.4;8915
236.56;8920
239.1;8925
237.51;8930
236.65;8935
236.3;8940
229.68;8945
234.92;8950
232.64;8955
230.74;8960
219.88;8965
232.46;8970
236.51;8975
247.15;8980
229.34;8985
234.24;8990
235.07;8995
228.53;9000
238.08;9005
225.04;9010
242.52;9015
236.59;9020
238.6;9025
240.04;9030
229.12;9035
211.41;9040
229.94;9045
233.64;9050
230.16;9055
246.46;9060
238.51;9065
238.29;9070
223.31;9075
233.36;9080
247.39;9085
225.9;9090
233.41;9095
238.77;9100
227.7;9105
234.1;9110
237.87;9115
235.16;9120
243.92;9125
226.36;9130
242.24;9135
231.89;9140
230.43;9145
231.53;9150
236.37;9155
236.48;9160
228.3;9165
228.56;9170
234.39;9175
235.9;9180
240.51;9185
233.88;9190
245.27;9195
240.06;9200
218.63;9205
232.48;9210
225.04;9215
228.25;9220
241.52;9225
249.79;9230
228.66;9235
235.67;9240
218.71;9245
242.06;9250
219.9;9255
227.82;9260
234.46;9265
236.15;9270
218.11;9275
217.34;9280
233.28;9285
229.99;9290
231.08;9295
232.03;9300
221.05;9305
238.31;9310
229.54;9315
225.57;9320
225.69;9325
236.15;9330
244.05;9335
228.87;9340
238.21;9345
230.86;9350
230.73;9355
230;9360
230.31;9365
230.25;9370
237.99;9375
238.98;9380
230.41;9385
233.89;9390
235.02;9395
229.22;9400
246.68;9405
229.21;9410
242.42;9415
229.38;9420
231.1;9425
224.99;9430
236.06;9435
245.2;9440
241.63;9445
223.87;9450
241.67;9455
225.08;9460
235.45;9465
231.87;9470
219.13;9475
216.63;9480
228.9;9485
233.55;9490
234.95;9495
238.83;9500
218.42;9505
224.76;9510
246.76;9515
233.39;9520
229.71;9525
231.96;9530
225.98;9535
229.4;9540
221.53;9545
236.21;9550
223.96;9555
234.61;9560
229.34;9565
227.45;9570
223.24;9575
233.72;9580
236.08;9585
218.15;9590
223.78;9595
231.65;9600
227.33;9605
241.27;9610
234.41;9615
237.2;9620
219.46;9625
226.76;9630
244.99;9635
233.63;9640
229.99;9645
226.35;9650
231.91;9655
232.07;9660
239.43;9665
239.98;9670
225.3;9675
238.49;9680
219.1;9685
227.26;9690
224.8;9695
236.57;9700
234.38;9705
234.94;9710
228.64;9715
222.36;9720
240.04;9725
229.6;9730
230.43;9735
229.47;9740
243.35;9745
239.41;9750
223.86;9755
230.92;9760
226.64;9765
231.63;9770
238.73;9775
244.71;9780
226.65;9785
232.11;9790
237.01;9795
236.86;9800
236.5;9805
233.08;9810
233.52;9815
242.68;9820
234.19;9825
234.88;9830
225.47;9835
229.5;9840
220.95;9845
227.33;9850
229.81;9855
228.03;9860
222.18;9865
233.91;9870
236.95;9875
227.93;9880
231.52;9885
233.25;9890
220.56;9895
233.41;9900
238.98;9905
230.42;9910
215.45;9915
234.9;9920
237.49;9925
221.47;9930
233.86;9935
225.64;9940
227.14;9945
234.18;9950
245.57;9955
231.18;9960
247.22;9965
231.58;9970
238.41;9975
225.77;9980
235.53;9985
223.96;9990
233.09;9995
235.84;10000
245.84;10005
223.77;10010
218.76;10015
226.74;10020
246.66;10025
232.32;10030
242.04;10035
237.34;10040
238.59;10045
236.55;10050
242.36;10055
226.6;10060
237.11;10065
227.87;10070
236.89;10075
215.33;10080
229.44;10085
237.22;10090
220.39;10095
234.72;10100
214.03;10105
234.1;10110
227.39;10115
229.2;10120
230.48;10125
237.34;10130
236.39;10135
220.42;10140
240.23;10145
212.57;10150
235.69;10155
223.96;10160
247.05;10165
